States/UTs,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year
Punjab,112,85,62,Drunken Driving,2018
Rajasthan,146,52,129,Drunken Driving,2018
Sikkim,2,2,0,Drunken Driving,2018
Tamil Nadu,1128,225,1359,Drunken Driving,2018
Telangana,182,24,194,Drunken Driving,2018
Tripura,28,8,47,Drunken Driving,2018
Uttarakhand,20,16,42,Drunken Driving,2018
Uttar Pradesh,3595,1824,2594,Drunken Driving,2018
West Bengal,79,6,60,Drunken Driving,2018
A & N Islands,20,0,19,Drunken Driving,2018
Chandigarh,12,0,7,Drunken Driving,2018
D & N Haveli,1,0,0,Drunken Driving,2018
Daman & Diu,8,0,16,Drunken Driving,2018
Delhi,333,72,292,Drunken Driving,2018
Lakshadweep,0,0,0,Drunken Driving,2018
Puducherry,14,2,22,Drunken Driving,2018
Andhra Pradesh,740,192,847,Driving On wrong side,2018
Arunachal Pradesh,8,6,6,Driving On wrong side,2018
Assam,1448,482,1188,Driving On wrong side,2018
Bihar,1241,777,1089,Driving On wrong side,2018
Chhattisgarh,740,252,620,Driving On wrong side,2018
Goa,90,4,44,Driving On wrong side,2018
Gujarat,959,352,925,Driving On wrong side,2018
Haryana,1055,533,1036,Driving On wrong side,2018
Himachal Pradesh,270,60,461,Driving On wrong side,2018
Jammu & Kashmir,13,4,23,Driving On wrong side,2018
Jharkhand,401,299,269,Driving On wrong side,2018
Karnataka,1289,262,1596,Driving On wrong side,2018
Kerala,1455,115,1713,Driving On wrong side,2018
Madhya Pradesh,2953,617,3087,Driving On wrong side,2018
Maharashtra,1084,384,924,Driving On wrong side,2018
Manipur,24,6,67,Driving On wrong side,2018
Meghalaya,49,11,33,Driving On wrong side,2018
Mizoram,5,3,10,Driving On wrong side,2018
Nagaland,72,8,55,Driving On wrong side,2018
Orissa,1002,374,1198,Driving On wrong side,2018
Punjab,1055,759,678,Driving On wrong side,2018
Rajasthan,196,72,172,Driving On wrong side,2018
Sikkim,12,4,11,Driving On wrong side,2018
Tamil Nadu,2507,527,3418,Driving On wrong side,2018
Telangana,200,32,206,Driving On wrong side,2018
Tripura,48,18,81,Driving On wrong side,2018
Uttarakhand,173,105,167,Driving On wrong side,2018
Uttar Pradesh,4572,2253,3317,Driving On wrong side,2018
West Bengal,194,101,233,Driving On wrong side,2018
A & N Islands,16,1,11,Driving On wrong side,2018
Chandigarh,1,0,3,Driving On wrong side,2018
D & N Haveli,1,3,1,Driving On wrong side,2018
Daman & Diu,11,6,10,Driving On wrong side,2018
Delhi,460,69,483,Driving On wrong side,2018
Lakshadweep,2,0,2,Driving On wrong side,2018
Puducherry,435,73,116,Driving On wrong side,2018
