,accidents,killed,injured,voilation,year,state
415,1068.0,643.84,998.0,2,2019,19
416,1977.39,643.84,1982.1,2,2019,20
417,262.0,83.0,313.0,2,2019,21
418,19.0,7.0,19.0,2,2019,22
419,1047.0,157.0,1982.1,2,2019,23
420,246.0,68.0,215.0,2,2019,24
421,19.0,3.0,29.0,2,2019,25
422,25.0,17.0,24.0,2,2019,26
423,1977.39,643.84,1982.1,2,2019,27
424,8.0,3.0,6.0,2,2019,28
425,41.0,1.0,36.0,2,2019,29
426,8.0,0.0,8.0,2,2019,30
427,1.0,0.0,0.0,2,2019,31
428,4.0,0.0,4.0,2,2019,32
429,215.0,45.0,202.0,2,2019,33
430,0.0,0.0,0.0,2,2019,34
431,6.0,0.0,9.0,2,2019,35
432,509.0,155.0,638.0,3,2019,0
433,57.0,28.0,77.0,3,2019,1
434,929.0,643.84,625.0,3,2019,2
435,1977.39,643.84,1982.1,3,2019,3
436,760.0,197.0,786.0,3,2019,4
437,100.0,19.0,122.0,3,2019,5
438,607.0,225.0,712.0,3,2019,6
439,959.0,643.84,1982.1,3,2019,7
440,715.0,643.84,1982.1,3,2019,8
441,72.0,11.0,87.0,3,2019,9
442,343.0,234.0,279.0,3,2019,10
443,1977.39,248.0,1982.1,3,2019,11
444,1977.39,131.0,1982.1,3,2019,12
445,1977.39,643.84,1982.1,3,2019,13
446,553.0,154.0,571.0,3,2019,14
447,23.0,7.0,33.0,3,2019,15
448,26.0,13.0,12.0,3,2019,16
449,5.0,5.0,2.0,3,2019,17
450,82.0,7.0,37.0,3,2019,18
451,1040.0,643.84,1982.1,3,2019,19
452,1977.39,643.84,984.0,3,2019,20
453,1977.39,643.84,1982.1,3,2019,21
454,19.0,3.0,61.0,3,2019,22
455,1977.39,643.84,1982.1,3,2019,23
456,119.0,23.0,140.0,3,2019,24
457,28.0,15.0,37.0,3,2019,25
458,102.0,52.0,107.0,3,2019,26
459,1977.39,643.84,1982.1,3,2019,27
460,114.0,44.0,158.0,3,2019,28
461,6.0,0.0,8.0,3,2019,29
462,3.0,1.0,2.0,3,2019,30
463,0.0,0.0,0.0,3,2019,31
464,2.0,1.0,1.0,3,2019,32
465,369.0,69.0,459.0,3,2019,33
466,0.0,0.0,0.0,3,2019,34
467,132.0,19.0,171.0,3,2019,35
468,37.0,22.0,24.0,4,2019,0
469,0.0,0.0,0.0,4,2019,1
470,136.0,29.0,128.0,4,2019,2
471,0.0,0.0,0.0,4,2019,3
472,22.0,2.0,18.0,4,2019,4
473,0.0,0.0,0.0,4,2019,5
474,8.0,4.0,4.0,4,2019,6
475,257.0,142.0,397.0,4,2019,7
476,0.0,0.0,0.0,4,2019,8
477,0.0,0.0,0.0,4,2019,9
478,74.0,33.0,107.0,4,2019,10
479,59.0,7.0,60.0,4,2019,11
480,70.0,5.0,86.0,4,2019,12
481,113.0,12.0,118.0,4,2019,13
482,48.0,4.0,46.0,4,2019,14
483,8.0,0.0,15.0,4,2019,15
484,11.0,7.0,3.0,4,2019,16
485,0.0,0.0,0.0,4,2019,17
486,0.0,0.0,0.0,4,2019,18
487,97.0,32.0,100.0,4,2019,19
488,1977.39,643.84,746.0,4,2019,20
489,32.0,13.0,35.0,4,2019,21
490,0.0,0.0,0.0,4,2019,22
491,1068.0,226.0,1982.1,4,2019,23
492,32.0,2.0,19.0,4,2019,24
493,0.0,0.0,0.0,4,2019,25
494,0.0,0.0,0.0,4,2019,26
495,874.0,297.0,680.0,4,2019,27
496,18.0,10.0,15.0,4,2019,28
497,0.0,0.0,0.0,4,2019,29
498,12.0,4.0,6.0,4,2019,30
499,0.0,0.0,0.0,4,2019,31
500,0.0,0.0,0.0,4,2019,32
501,371.0,100.0,320.0,4,2019,33
502,0.0,0.0,0.0,4,2019,34
503,17.0,0.0,25.0,4,2019,35
504,96.0,29.0,134.0,5,2019,0
505,43.0,23.0,67.0,5,2019,1
506,99.0,40.0,99.0,5,2019,2
507,182.0,149.0,130.0,5,2019,3
508,24.0,9.0,10.0,5,2019,4
509,0.0,0.0,0.0,5,2019,5
510,122.0,40.0,118.0,5,2019,6
511,539.0,243.0,418.0,5,2019,7
512,18.0,3.0,27.0,5,2019,8
513,0.0,0.0,0.0,5,2019,9
514,128.0,80.0,107.0,5,2019,10
515,31.0,2.0,50.0,5,2019,11
516,27.0,0.0,28.0,5,2019,12
517,896.0,181.0,972.0,5,2019,13
518,100.0,13.0,100.0,5,2019,14
519,37.0,2.0,66.0,5,2019,15
520,19.0,10.0,8.0,5,2019,16
521,0.0,0.0,0.0,5,2019,17
522,13.0,0.0,7.0,5,2019,18
523,492.0,205.0,561.0,5,2019,19
524,1977.39,643.84,194.0,5,2019,20
525,158.0,63.0,217.0,5,2019,21
526,0.0,0.0,0.0,5,2019,22
527,1047.0,165.0,1982.1,5,2019,23
528,7.0,1.0,6.0,5,2019,24
529,0.0,0.0,0.0,5,2019,25
530,51.0,50.0,98.0,5,2019,26
531,1977.39,643.84,1982.1,5,2019,27
532,14.0,4.0,13.0,5,2019,28
533,0.0,0.0,0.0,5,2019,29
534,0.0,0.0,0.0,5,2019,30
535,0.0,0.0,0.0,5,2019,31
536,2.0,0.0,3.0,5,2019,32
537,199.0,53.0,173.0,5,2019,33
538,0.0,0.0,0.0,5,2019,34
539,0.0,0.0,0.0,5,2019,35
540,1977.39,643.84,1982.1,1,2020,0
541,64.0,42.0,94.0,1,2020,1
542,1977.39,643.84,1982.1,1,2020,2
543,1977.39,643.84,1982.1,1,2020,3
544,1977.39,643.84,1982.1,1,2020,4
545,1977.39,181.0,766.0,1,2020,5
546,1977.39,643.84,1982.1,1,2020,6
547,1977.39,643.84,1982.1,1,2020,7
548,1977.39,643.84,1982.1,1,2020,8
549,1977.39,643.84,1982.1,1,2020,9
550,1977.39,643.84,1982.1,1,2020,10
551,1977.39,643.84,1982.1,1,2020,11
552,1977.39,643.84,1982.1,1,2020,12
553,1977.39,643.84,1982.1,1,2020,13
554,1977.39,643.84,1982.1,1,2020,14
555,265.0,60.0,399.0,1,2020,15
556,113.0,77.0,113.0,1,2020,16
557,22.0,14.0,31.0,1,2020,17
558,156.0,20.0,66.0,1,2020,18
559,1977.39,643.84,1982.1,1,2020,19
560,1977.39,643.84,1982.1,1,2020,20
561,1977.39,643.84,1982.1,1,2020,21
562,62.0,18.0,98.0,1,2020,22
563,1977.39,643.84,1982.1,1,2020,23
564,1977.39,643.84,1982.1,1,2020,24
565,429.0,181.0,426.0,1,2020,25
566,710.0,643.84,523.0,1,2020,26
567,1977.39,643.84,1982.1,1,2020,27
568,1977.39,643.84,1982.1,1,2020,28
569,26.0,2.0,31.0,1,2020,29
570,147.0,50.0,139.0,1,2020,30
571,84.0,58.0,104.0,1,2020,31
573,1977.39,643.84,986.0,1,2020,33
574,1.0,0.0,1.0,1,2020,34
575,13.0,27.0,848.0,1,2020,35
576,77.0,29.0,75.0,2,2020,0
577,18.0,9.0,24.0,2,2020,1
578,468.0,252.0,964.0,2,2020,2
579,28.0,10.0,29.0,2,2020,3
580,67.0,27.0,200.0,2,2020,4
581,8.0,0.0,6.0,2,2020,5
582,57.0,12.0,51.0,2,2020,6
583,138.0,38.0,72.0,2,2020,7
584,76.0,20.0,115.0,2,2020,8
585,0.0,0.0,0.0,2,2020,9
586,430.0,256.0,229.0,2,2020,10
587,73.0,21.0,55.0,2,2020,11
588,77.0,17.0,85.0,2,2020,12
589,989.0,237.0,1982.1,2,2020,13
590,181.0,45.0,172.0,2,2020,14
591,27.0,7.0,54.0,2,2020,15
592,18.0,12.0,6.0,2,2020,16
593,18.0,19.0,17.0,2,2020,17
594,107.0,7.0,35.0,2,2020,18
595,648.0,298.0,536.0,2,2020,19
596,537.0,643.84,354.0,2,2020,20
597,161.0,63.0,138.0,2,2020,21
598,28.0,6.0,53.0,2,2020,22
599,696.0,70.0,776.0,2,2020,23
600,794.0,203.0,796.0,2,2020,24
601,3.0,0.0,6.0,2,2020,25
602,14.0,6.0,15.0,2,2020,26
603,1977.39,643.84,1982.1,2,2020,27
604,20.0,10.0,14.0,2,2020,28
605,33.0,4.0,24.0,2,2020,29
606,5.0,1.0,3.0,2,2020,30
607,4.0,2.0,3.0,2,2020,31
608,0.0,0.0,0.0,2,2020,32
609,143.0,36.0,139.0,2,2020,33
610,0.0,0.0,0.0,2,2020,34
611,2.0,0.0,6.0,2,2020,35
612,413.0,137.0,461.0,3,2020,0
613,23.0,7.0,23.0,3,2020,1
614,544.0,152.0,887.0,3,2020,2
615,740.0,643.84,546.0,3,2020,3
616,497.0,109.0,511.0,3,2020,4
617,229.0,18.0,70.0,3,2020,5
618,543.0,208.0,545.0,3,2020,6
619,515.0,176.0,450.0,3,2020,7
620,462.0,172.0,686.0,3,2020,8
621,30.0,1.0,59.0,3,2020,9
622,173.0,120.0,150.0,3,2020,10
623,712.0,113.0,900.0,3,2020,11
624,1977.39,88.0,1982.1,3,2020,12
625,1977.39,643.84,1982.1,3,2020,13
626,1977.39,643.84,905.0,3,2020,14
627,28.0,9.0,40.0,3,2020,15
628,19.0,14.0,17.0,3,2020,16
629,5.0,5.0,13.0,3,2020,17
630,63.0,5.0,37.0,3,2020,18
631,749.0,296.0,803.0,3,2020,19
632,990.0,643.84,610.0,3,2020,20
633,1977.39,643.84,1982.1,3,2020,21
634,33.0,13.0,45.0,3,2020,22
635,1977.39,643.84,1982.1,3,2020,23
636,160.0,40.0,147.0,3,2020,24
637,34.0,11.0,38.0,3,2020,25
638,81.0,48.0,66.0,3,2020,26
639,1977.39,643.84,1982.1,3,2020,27
640,83.0,44.0,99.0,3,2020,28
641,4.0,0.0,5.0,3,2020,29
642,3.0,1.0,4.0,3,2020,30
643,4.0,0.0,7.0,3,2020,31
644,0.0,0.0,0.0,3,2020,32
645,287.0,60.0,274.0,3,2020,33
646,0.0,0.0,0.0,3,2020,34
647,122.0,21.0,126.0,3,2020,35
648,17.0,2.0,0.0,4,2020,0
649,0.0,0.0,0.0,4,2020,1
