,Number of Accidents,Persons Killed,People Injured,Traffic Voilation type,Year,States
283,0.0,0.0,0,5,2018,13
284,76.0,41.0,89,1,2019,0
285,378.0,97.0,597,1,2019,2
286,172.0,61.0,82,1,2019,3
287,32.0,27.0,31,1,2019,4
288,131.0,12.0,113,1,2019,5
289,77.0,32.0,97,1,2019,6
290,588.0,209.0,735,1,2019,7
291,983.0,591.0,932,1,2019,29
292,40.0,3.0,38,1,2019,8
293,282.0,99.0,259,1,2019,9
294,67.0,49.0,105,1,2019,10
295,61.0,27.0,66,1,2019,11
296,0.0,0.0,0,1,2019,12
297,908.0,121.0,1018,1,2019,13
298,127.0,43.0,144,2,2019,33
299,46.0,27.0,70,2,2019,0
300,279.0,74.0,306,2,2019,14
301,0.0,0.0,0,2,2019,15
302,134.0,34.0,112,2,2019,16
303,6.0,1.0,0,2,2019,17
304,47.0,17.0,34,2,2019,18
305,299.0,132.0,280,2,2019,19
306,75.0,24.0,106,2,2019,1
307,25.0,5.0,44,2,2019,20
308,686.0,578.0,382,2,2019,21
309,132.0,37.0,166,2,2019,22
310,104.0,20.0,103,2,2019,23
311,1030.0,241.0,1039,2,2019,24
312,258.0,53.0,280,2,2019,25
313,81.0,12.0,146,2,2019,2
314,23.0,4.0,15,2,2019,3
315,17.0,12.0,10,2,2019,4
316,132.0,7.0,89,2,2019,5
317,1068.0,507.0,998,2,2019,32
318,262.0,83.0,313,2,2019,27
319,19.0,7.0,19,2,2019,6
320,1047.0,157.0,1246,2,2019,35
321,246.0,68.0,215,2,2019,28
322,19.0,3.0,29,2,2019,7
323,25.0,17.0,24,2,2019,29
324,8.0,3.0,6,2,2019,30
325,41.0,1.0,36,2,2019,8
326,8.0,0.0,8,2,2019,9
327,1.0,0.0,0,2,2019,10
328,4.0,0.0,4,2,2019,11
329,215.0,45.0,202,2,2019,31
330,0.0,0.0,0,2,2019,12
331,6.0,0.0,9,2,2019,13
332,509.0,155.0,638,3,2019,33
333,57.0,28.0,77,3,2019,0
334,929.0,363.0,625,3,2019,14
335,760.0,197.0,786,3,2019,16
336,100.0,19.0,122,3,2019,17
337,607.0,225.0,712,3,2019,18
338,959.0,418.0,1022,3,2019,19
339,715.0,341.0,1531,3,2019,1
340,72.0,11.0,87,3,2019,20
341,343.0,234.0,279,3,2019,21
342,553.0,154.0,571,3,2019,25
343,23.0,7.0,33,3,2019,2
344,26.0,13.0,12,3,2019,3
345,5.0,5.0,2,3,2019,4
346,82.0,7.0,37,3,2019,5
347,1040.0,445.0,1235,3,2019,32
348,19.0,3.0,61,3,2019,6
349,119.0,23.0,140,3,2019,28
350,28.0,15.0,37,3,2019,7
351,102.0,52.0,107,3,2019,29
352,114.0,44.0,158,3,2019,30
353,6.0,0.0,8,3,2019,8
354,3.0,1.0,2,3,2019,9
355,0.0,0.0,0,3,2019,10
356,2.0,1.0,1,3,2019,11
357,369.0,69.0,459,3,2019,31
358,0.0,0.0,0,3,2019,12
359,132.0,19.0,171,3,2019,13
360,37.0,22.0,24,4,2019,33
361,0.0,0.0,0,4,2019,0
362,136.0,29.0,128,4,2019,14
363,0.0,0.0,0,4,2019,15
364,22.0,2.0,18,4,2019,16
365,0.0,0.0,0,4,2019,17
366,8.0,4.0,4,4,2019,18
367,257.0,142.0,397,4,2019,19
368,0.0,0.0,0,4,2019,1
369,0.0,0.0,0,4,2019,20
370,74.0,33.0,107,4,2019,21
371,59.0,7.0,60,4,2019,22
372,70.0,5.0,86,4,2019,23
373,113.0,12.0,118,4,2019,24
374,48.0,4.0,46,4,2019,25
375,8.0,0.0,15,4,2019,2
376,11.0,7.0,3,4,2019,3
377,0.0,0.0,0,4,2019,4
378,0.0,0.0,0,4,2019,5
379,97.0,32.0,100,4,2019,32
380,32.0,13.0,35,4,2019,27
381,0.0,0.0,0,4,2019,6
382,1068.0,226.0,1054,4,2019,35
383,32.0,2.0,19,4,2019,28
384,0.0,0.0,0,4,2019,7
385,0.0,0.0,0,4,2019,29
386,874.0,297.0,680,4,2019,34
387,18.0,10.0,15,4,2019,30
388,0.0,0.0,0,4,2019,8
389,12.0,4.0,6,4,2019,9
390,0.0,0.0,0,4,2019,10
391,0.0,0.0,0,4,2019,11
392,371.0,100.0,320,4,2019,31
393,0.0,0.0,0,4,2019,12
394,17.0,0.0,25,4,2019,13
395,96.0,29.0,134,5,2019,33
396,43.0,23.0,67,5,2019,0
397,99.0,40.0,99,5,2019,14
398,182.0,149.0,130,5,2019,15
399,24.0,9.0,10,5,2019,16
400,0.0,0.0,0,5,2019,17
401,122.0,40.0,118,5,2019,18
402,539.0,243.0,418,5,2019,19
403,18.0,3.0,27,5,2019,1
404,0.0,0.0,0,5,2019,20
405,128.0,80.0,107,5,2019,21
406,31.0,2.0,50,5,2019,22
407,27.0,0.0,28,5,2019,23
408,896.0,181.0,972,5,2019,24
409,100.0,13.0,100,5,2019,25
410,37.0,2.0,66,5,2019,2
411,19.0,10.0,8,5,2019,3
412,0.0,0.0,0,5,2019,4
413,13.0,0.0,7,5,2019,5
414,492.0,205.0,561,5,2019,32
415,158.0,63.0,217,5,2019,27
416,0.0,0.0,0,5,2019,6
417,1047.0,165.0,1233,5,2019,35
418,7.0,1.0,6,5,2019,28
419,0.0,0.0,0,5,2019,7
420,51.0,50.0,98,5,2019,29
421,14.0,4.0,13,5,2019,30
422,0.0,0.0,0,5,2019,8
423,0.0,0.0,0,5,2019,9
424,0.0,0.0,0,5,2019,10
425,2.0,0.0,3,5,2019,11
426,199.0,53.0,173,5,2019,31
427,0.0,0.0,0,5,2019,12
428,0.0,0.0,0,5,2019,13
429,64.0,42.0,94,1,2020,0
430,265.0,60.0,399,1,2020,2
431,113.0,77.0,113,1,2020,3
432,22.0,14.0,31,1,2020,4
433,156.0,20.0,66,1,2020,5
434,62.0,18.0,98,1,2020,6
435,429.0,181.0,426,1,2020,7
436,710.0,450.0,523,1,2020,29
437,26.0,2.0,31,1,2020,8
438,147.0,50.0,139,1,2020,9
439,84.0,58.0,104,1,2020,10
440,1.0,0.0,1,1,2020,12
441,13.0,27.0,848,1,2020,13
442,77.0,29.0,75,2,2020,33
443,18.0,9.0,24,2,2020,0
444,468.0,252.0,964,2,2020,14
445,28.0,10.0,29,2,2020,15
446,67.0,27.0,200,2,2020,16
447,8.0,0.0,6,2,2020,17
448,57.0,12.0,51,2,2020,18
449,138.0,38.0,72,2,2020,19
450,76.0,20.0,115,2,2020,1
451,0.0,0.0,0,2,2020,20
452,430.0,256.0,229,2,2020,21
453,73.0,21.0,55,2,2020,22
454,77.0,17.0,85,2,2020,23
455,989.0,237.0,1136,2,2020,24
456,181.0,45.0,172,2,2020,25
457,27.0,7.0,54,2,2020,2
458,18.0,12.0,6,2,2020,3
459,18.0,19.0,17,2,2020,4
460,107.0,7.0,35,2,2020,5
461,648.0,298.0,536,2,2020,32
462,537.0,349.0,354,2,2020,26
463,161.0,63.0,138,2,2020,27
464,28.0,6.0,53,2,2020,6
465,696.0,70.0,776,2,2020,35
466,794.0,203.0,796,2,2020,28
467,3.0,0.0,6,2,2020,7
468,14.0,6.0,15,2,2020,29
469,20.0,10.0,14,2,2020,30
470,33.0,4.0,24,2,2020,8
471,5.0,1.0,3,2,2020,9
472,4.0,2.0,3,2,2020,10
473,0.0,0.0,0,2,2020,11
474,143.0,36.0,139,2,2020,31
475,0.0,0.0,0,2,2020,12
476,2.0,0.0,6,2,2020,13
477,413.0,137.0,461,3,2020,33
478,23.0,7.0,23,3,2020,0
479,544.0,152.0,887,3,2020,14
480,740.0,550.0,546,3,2020,15
481,497.0,109.0,511,3,2020,16
482,229.0,18.0,70,3,2020,17
483,543.0,208.0,545,3,2020,18
484,515.0,176.0,450,3,2020,19
485,462.0,172.0,686,3,2020,1
486,30.0,1.0,59,3,2020,20
487,173.0,120.0,150,3,2020,21
488,712.0,113.0,900,3,2020,22
489,28.0,9.0,40,3,2020,2
490,19.0,14.0,17,3,2020,3
491,5.0,5.0,13,3,2020,4
492,63.0,5.0,37,3,2020,5
493,749.0,296.0,803,3,2020,32
494,990.0,714.0,610,3,2020,26
495,33.0,13.0,45,3,2020,6
496,160.0,40.0,147,3,2020,28
497,34.0,11.0,38,3,2020,7
498,81.0,48.0,66,3,2020,29
499,83.0,44.0,99,3,2020,30
500,4.0,0.0,5,3,2020,8
501,3.0,1.0,4,3,2020,9
502,4.0,0.0,7,3,2020,10
503,0.0,0.0,0,3,2020,11
504,287.0,60.0,274,3,2020,31
505,0.0,0.0,0,3,2020,12
506,122.0,21.0,126,3,2020,13
507,17.0,2.0,0,4,2020,33
508,0.0,0.0,0,4,2020,0
509,157.0,36.0,405,4,2020,14
510,0.0,0.0,0,4,2020,15
511,67.0,4.0,44,4,2020,16
512,5.0,1.0,1,4,2020,17
513,28.0,12.0,17,4,2020,18
514,34.0,11.0,23,4,2020,19
515,0.0,0.0,0,4,2020,1
516,0.0,0.0,31,4,2020,20
517,69.0,42.0,49,4,2020,21
518,33.0,3.0,30,4,2020,22
519,26.0,2.0,39,4,2020,23
520,375.0,65.0,366,4,2020,24
521,2.0,0.0,2,4,2020,25
522,0.0,0.0,0,4,2020,2
523,0.0,0.0,0,4,2020,3
524,0.0,0.0,0,4,2020,4
525,0.0,0.0,0,4,2020,5
526,56.0,15.0,43,4,2020,32
527,266.0,186.0,201,4,2020,26
528,21.0,7.0,15,4,2020,27
529,0.0,0.0,0,4,2020,6
530,442.0,56.0,576,4,2020,35
531,91.0,12.0,88,4,2020,28
532,0.0,0.0,0,4,2020,7
533,0.0,0.0,0,4,2020,29
534,761.0,330.0,505,4,2020,34
535,11.0,1.0,11,4,2020,30
536,0.0,0.0,0,4,2020,8
537,4.0,1.0,2,4,2020,9
538,0.0,0.0,0,4,2020,10
539,252.0,78.0,228,4,2020,31
540,0.0,0.0,0,4,2020,12
541,0.0,2.0,0,4,2020,13
542,143.0,38.0,188,5,2020,33
543,3.0,1.0,5,5,2020,0
544,198.0,51.0,590,5,2020,14
545,163.0,89.0,174,5,2020,15
546,21.0,10.0,18,5,2020,16
547,0.0,0.0,0,5,2020,17
548,79.0,11.0,59,5,2020,18
549,421.0,166.0,306,5,2020,19
550,25.0,8.0,18,5,2020,1
551,9.0,0.0,0,5,2020,20
552,96.0,60.0,69,5,2020,21
553,38.0,4.0,64,5,2020,22
554,23.0,2.0,25,5,2020,23
555,684.0,143.0,800,5,2020,24
556,10.0,3.0,8,5,2020,25
557,2.0,0.0,5,5,2020,2
558,4.0,1.0,3,5,2020,3
559,2.0,1.0,2,5,2020,4
560,0.0,0.0,0,5,2020,5
561,297.0,120.0,301,5,2020,32
562,407.0,295.0,159,5,2020,26
563,68.0,45.0,51,5,2020,27
564,0.0,0.0,0,5,2020,6
565,717.0,83.0,900,5,2020,35
566,22.0,4.0,23,5,2020,28
567,0.0,0.0,0,5,2020,7
568,0.0,0.0,0,5,2020,29
569,3.0,1.0,2,5,2020,30
570,0.0,0.0,0,5,2020,8
571,0.0,0.0,0,5,2020,9
572,0.0,0.0,0,5,2020,10
573,0.0,0.0,0,5,2020,11
574,86.0,23.0,74,5,2020,31
575,0.0,0.0,0,5,2020,12
576,0.0,0.0,5,5,2020,13
577,9407.078014184395,6768.0,23497,1,2017,33
578,9407.078014184395,1721.0,3884,1,2017,14
579,9407.078014184395,3716.0,3879,1,2017,15
580,9407.078014184395,2592.0,8037,1,2017,16
581,9407.078014184395,316.0,1747,1,2017,17
582,9407.078014184395,5948.0,13866,1,2017,18
583,9407.078014184395,1962.0,4241,1,2017,19
584,9407.078014184395,531.0,3866,1,2017,20
585,9407.078014184395,1800.0,1921,1,2017,21
586,9407.078014184395,9584.0,47278,1,2017,22
587,9407.078014184395,3679.0,37715,1,2017,23
588,9407.078014184395,7846.0,41245,1,2017,24
589,9407.078014184395,8819.0,23273,1,2017,25
590,9407.078014184395,2612.0,6188,1,2017,32
591,9407.078014184395,2363.0,2254,1,2017,26
592,9407.078014184395,8247.0,17180,1,2017,27
593,9407.078014184395,12570.0,59856,1,2017,35
594,9407.078014184395,6082.0,22593,1,2017,28
595,9407.078014184395,692.0,955,1,2017,29
596,9407.078014184395,7446.0,9653,1,2017,34
597,9407.078014184395,1882.0,3618,1,2017,30
598,9407.078014184395,651.0,2728,1,2017,31
599,9407.078014184395,156.0,466,2,2017,33
600,9407.078014184395,735.0,1426,2,2017,32
